Date,SBUX
2021-08-02,213.23587036132812
2021-08-09,215.54640197753906
2021-08-16,215.24856567382812
2021-08-23,214.33697509765625
2021-08-30,215.54640197753906
2021-09-06,217.05477905273438
2021-09-13,220.05862426757812
2021-09-20,223.6250762939453
2021-09-27,220.45790100097656
2021-10-04,224.7866668701172
2021-10-11,219.84085083007812
2021-10-18,216.38327026367188
2021-10-25,222.83554077148438
2021-11-01,231.148193359375
2021-11-08,227.48190307617188
2021-11-15,228.6435089111328
2021-11-22,226.88294982910156
2021-11-29,226.26588439941406
2021-12-06,241.79222106933594
2021-12-13,238.80824279785156
2021-12-20,242.68646240234375
2021-12-27,244.62103271484375
2022-01-03,243.69935607910156
2022-01-10,235.167236328125
2022-01-17,232.3201446533203
2022-01-24,233.68893432617188
2022-01-31,237.31167602539062
