Date,SPY
2021-07-26,109.39421081542969
2021-08-02,107.25011444091797
2021-08-09,105.18708801269531
2021-08-16,103.66902923583984
2021-08-23,104.11216735839844
2021-08-30,105.9842529296875
2021-09-06,107.92864990234375
2021-09-13,102.56568145751953
2021-09-20,103.19876098632812
2021-09-27,102.12254333496094
2021-10-04,100.58509826660156
2021-10-11,100.79309844970703
2021-10-18,103.5966796875
2021-10-25,95.92752075195312
2021-11-01,105.73100280761719
2021-11-08,101.03729248046875
2021-11-15,100.61915588378906
2021-11-22,100.51017761230469
2021-11-29,101.0369644165039
2021-12-06,106.02342224121094
2021-12-13,98.66634368896484
2021-12-20,102.06330871582031
2021-12-27,106.24140930175781
2022-01-03,97.7035903930664
2022-01-10,90.9369125366211
2022-01-17,87.47635650634766
2022-01-24,88.29380798339844
